Date,Open,High,Low,Close,Adj Close
2015-05-29,11268.21,11268.21,11119.61,11144.38,1444875
2015-06-01,11119.61,11119.61,10971.02,10971.02,3019213
2015-06-02,10971.02,10971.02,10822.43,10822.43,3937195
2015-06-03,10822.43,11094.85,10797.67,10946.26,2658713
2015-06-04,10946.26,11020.55,10946.26,10995.79,906536
2015-06-05,11020.55,11119.61,10946.26,11094.85,2335439
2015-06-08,11144.38,11169.14,10971.02,10971.02,2822329
2015-06-09,10946.26,11193.91,10946.26,10971.02,2498489
2015-06-10,10971.02,11070.08,10921.49,11045.32,1008615
2015-06-11,11045.32,11119.61,11045.32,11094.85,1830256
2015-06-12,11119.61,11218.67,11119.61,11169.14,8682909
2015-06-15,11243.44,11243.44,11094.85,11144.38,1823711
2015-06-16,11144.38,11193.91,11020.55,11020.55,1935640
2015-06-17,10995.79,11045.32,10971.02,10995.79,1951754
2015-06-18,10995.79,11144.38,10995.79,11020.55,5347396
2015-06-19,11020.55,11169.14,11020.55,11094.85,4259055
2015-06-22,11144.38,11342.5,11119.61,11292.97,5143275
2015-06-23,11292.97,11317.74,11243.44,11268.21,2518634
2015-06-24,11292.97,11292.97,11193.91,11193.91,3581007
2015-06-25,11169.14,11193.91,11144.38,11144.38,2362249
2015-06-26,11169.14,11862.57,11169.14,11466.33,17081399
2015-06-29,11590.15,11813.04,11515.86,11590.15,3777617
2015-06-30,11466.33,11565.39,11466.33,11491.09,4596018
2015-07-01,11491.09,11664.45,11416.8,11590.15,8912146
2015-07-02,11565.39,11738.75,11540.62,11689.21,4402200
2015-07-03,11738.75,11738.75,11614.92,11639.68,3062748
2015-07-06,11664.45,11763.51,11639.68,11763.51,3955083
2015-07-07,11738.75,11986.4,11689.21,11788.28,4574336
2015-07-08,11788.28,11837.81,11540.62,11565.39,9993955
2015-07-09,11515.86,11614.92,11441.56,11565.39,6665856
2015-07-10,11565.39,11639.68,11491.09,11540.62,3374349
